rep,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
0,0.7219,0.7978,1.0606,0.8015,0.2719,0.9475,0.001996,0.001996,0.001996,0.001996,0.011976,0.001996,7.57,0.0803,0.594,0.0025,0.0047,7.48
1,-0.5798,-0.5032,-0.6146,-0.2586,-0.3036,-0.2291,0.001996,0.001996,0.001996,0.01996,0.003992,0.01996,-6.015,-0.0513,-0.3315,-0.0008,-0.0057,-1.74
2,-1.0388,-1.0235,-0.7848,0.1066,0.2049,-0.6413,0.001996,0.001996,0.001996,0.293413,0.043912,0.001996,-10.9,-0.1096,-0.4208,0.0003,0.004,-4.545
3,1.2488,1.1085,1.331,0.6894,0.9306,0.7214,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,12.445,0.1079,0.7623,0.0022,0.0192,5.135
4,0.759,0.7861,0.3953,-0.3005,-0.3031,0.5583,0.001996,0.001996,0.001996,0.015968,0.003992,0.001996,8.005,0.0807,0.2165,-0.0009,-0.0051,4.105
5,-0.1328,-0.1025,-0.1082,0.004,-0.0094,-0.3471,0.157685,0.313373,0.285429,0.958084,0.92016,0.005988,-1.39,-0.0105,-0.0616,0.0,-0.0002,-2.625
6,0.0407,0.1429,0.0745,0.0971,-0.2172,0.4898,0.670659,0.127745,0.431138,0.333333,0.025948,0.001996,0.44,0.0147,0.0416,0.0003,-0.0035,3.69
7,-0.917,-0.8296,-0.8135,-0.1903,-0.107,-0.9191,0.001996,0.001996,0.001996,0.095808,0.303393,0.001996,-9.18,-0.0821,-0.4414,-0.0006,-0.0018,-6.515
8,1.5475,1.5366,1.5451,0.4807,0.4138,1.1798,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,15.535,0.1426,0.802,0.0015,0.0077,8.345
9,-0.149,-0.1197,-0.1179,0.0175,0.152,-0.7327,0.131737,0.229541,0.241517,0.866267,0.147705,0.001996,-1.545,-0.0125,-0.062,0.0001,0.0026,-5.18
10,0.1846,0.167,0.1079,-0.0173,-0.111,0.3237,0.085828,0.127745,0.275449,0.850299,0.273453,0.001996,1.875,0.0161,0.0587,-0.0,-0.0019,2.425
