rep,n_a,n_b,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
0,180,184,0.4429,0.4505,0.2416,-0.1197,-0.005,-0.0422,0.001996,0.001996,0.015968,0.213573,0.968064,0.712575,2.365,0.0738,0.0966,-0.0009,-0.0002,-0.12
1,191,173,-3.1233,-3.0806,-3.0407,-0.5754,-0.4466,-2.2175,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-15.95,-0.4498,-1.167,-0.0047,-0.0145,-5.97
2,184,180,0.4947,0.3537,0.1586,-0.306,-0.0251,0.2027,0.001996,0.001996,0.131737,0.001996,0.816367,0.065868,2.33,0.0513,0.059,-0.0023,-0.0009,0.54
3,175,189,-2.0466,-2.0683,-1.2034,0.2933,0.6693,-1.129,0.001996,0.001996,0.001996,0.005988,0.001996,0.001996,-9.28,-0.2868,-0.4434,0.0024,0.0234,-3.175
4,188,176,-1.3223,-1.3289,-1.4995,-0.8096,-0.5652,-1.2445,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.1,-0.2224,-0.6456,-0.0066,-0.0206,-4.01
5,166,198,-1.7164,-1.6917,-1.4943,-0.2328,-0.1088,-1.4971,0.001996,0.001996,0.001996,0.01996,0.249501,0.001996,-8.105,-0.2481,-0.5508,-0.0018,-0.0042,-4.085
6,160,204,-2.0491,-1.8545,-2.9372,-1.5839,-0.7874,-2.5066,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-9.475,-0.2683,-1.01,-0.0115,-0.0247,-6.77
7,192,172,-2.2508,-2.3312,-1.6274,0.0306,0.9224,-1.3378,0.001996,0.001996,0.001996,0.762475,0.001996,0.001996,-9.82,-0.3162,-0.6267,0.0002,0.0318,-3.82
8,190,174,0.02,-0.0487,-0.6826,-0.938,-0.6756,-0.7477,0.878244,0.60479,0.001996,0.001996,0.001996,0.001996,0.1,-0.0073,-0.2563,-0.0068,-0.0226,-2.005
9,172,192,-0.7468,-0.4777,0.0275,0.8112,0.6371,0.2269,0.001996,0.001996,0.792415,0.001996,0.001996,0.033932,-3.795,-0.0752,0.0097,0.0061,0.0224,0.595
10,185,179,-2.0875,-1.9946,-1.4239,0.2694,-0.0686,-0.8518,0.001996,0.001996,0.001996,0.005988,0.497006,0.001996,-10.965,-0.2984,-0.5659,0.002,-0.0023,-2.55
11,178,186,1.4499,1.1551,0.9824,-0.1278,0.5784,0.1935,0.001996,0.001996,0.001996,0.209581,0.001996,0.083832,7.22,0.1683,0.3836,-0.001,0.0194,0.58
12,189,175,1.1738,1.0279,1.1174,0.2337,0.2867,0.6262,0.001996,0.001996,0.001996,0.017964,0.007984,0.001996,5.655,0.1458,0.4201,0.0017,0.0089,1.715
13,200,164,0.5052,0.4212,0.6323,0.3116,0.355,0.5332,0.001996,0.001996,0.001996,0.005988,0.001996,0.001996,2.435,0.0624,0.2276,0.0025,0.0115,1.395
14,146,218,0.0579,0.0699,0.2017,0.2006,0.0104,-0.0946,0.55489,0.461078,0.063872,0.051896,0.93014,0.343313,0.27,0.0093,0.0715,0.0015,0.0004,-0.26
15,180,184,-1.4695,-1.5719,-1.3743,-0.3863,0.5237,-0.7377,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.07,-0.2347,-0.5562,-0.0031,0.0153,-2.02
16,171,193,0.8784,0.639,1.2835,0.904,0.932,0.802,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,4.29,0.088,0.5156,0.0069,0.0315,2.265
17,159,205,0.4341,0.6111,0.9376,0.73,-0.192,0.9764,0.001996,0.001996,0.001996,0.001996,0.045908,0.001996,2.17,0.0856,0.3358,0.0049,-0.0063,2.5
18,198,166,-2.2705,-2.4068,-2.8085,-1.1827,-0.1874,-2.1289,0.001996,0.001996,0.001996,0.001996,0.03992,0.001996,-10.805,-0.3411,-1.0229,-0.0093,-0.0067,-5.905
19,206,158,-2.6211,-2.3905,-2.6343,-0.9179,-0.6449,-2.5438,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-12.905,-0.3672,-1.059,-0.0082,-0.0241,-7.455
20,194,170,1.3744,1.379,0.9019,-0.2589,-0.4439,0.6627,0.001996,0.001996,0.001996,0.003992,0.001996,0.001996,6.915,0.1943,0.3372,-0.002,-0.015,1.88
21,214,150,-0.2018,-0.1816,-0.1354,0.0443,0.0004,-0.3796,0.047904,0.06986,0.175649,0.634731,0.998004,0.001996,-0.925,-0.0251,-0.0448,0.0003,0.0,-0.94
22,185,179,-1.5809,-1.3182,-1.2216,-0.02,-0.2577,-0.7012,0.001996,0.001996,0.001996,0.838323,0.007984,0.001996,-7.36,-0.1885,-0.4628,-0.0002,-0.0084,-1.975
23,200,164,0.3741,0.2913,0.0893,-0.2941,0.0537,-0.2498,0.001996,0.005988,0.373253,0.005988,0.600798,0.017964,2.035,0.0436,0.0401,-0.0024,0.0017,-0.845
24,172,192,0.5727,0.5036,0.1135,-0.4622,0.2274,-0.2531,0.001996,0.001996,0.239521,0.001996,0.031936,0.017964,2.575,0.0693,0.0384,-0.0033,0.0075,-0.68
25,191,173,-2.0958,-2.0401,-1.8266,-0.0374,0.3809,-1.5866,0.001996,0.001996,0.001996,0.734531,0.001996,0.001996,-10.81,-0.3155,-0.704,-0.0003,0.012,-4.79
26,173,191,0.1441,0.1453,-0.3244,-0.5309,-0.6556,-0.043,0.145709,0.173653,0.001996,0.001996,0.001996,0.628743,0.71,0.0206,-0.1238,-0.0042,-0.0207,-0.13
27,155,209,0.2011,0.1638,0.2637,0.2042,0.1098,0.5807,0.041916,0.113772,0.003992,0.03992,0.295409,0.001996,1.105,0.0253,0.1163,0.0017,0.0033,1.94
28,192,172,-1.4544,-1.4844,-1.7576,-0.7033,0.2138,-1.0862,0.001996,0.001996,0.001996,0.001996,0.043912,0.001996,-6.89,-0.2049,-0.6417,-0.0053,0.0071,-2.88
29,201,163,-0.5253,-0.6591,-0.5141,-0.0951,0.4462,-0.2862,0.001996,0.001996,0.001996,0.333333,0.001996,0.003992,-2.865,-0.0925,-0.2008,-0.0007,0.0149,-0.875
