rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
-1,paper_taxa,-0.9552,-0.7297,-1.4578,-0.9632,-1.2289,-0.5177,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.355,-0.1194,-0.5203,-0.0066,-0.0385,-1.715
0,paper_taxa,-0.5297,-0.4275,-0.9344,-0.7414,-0.6915,-0.3709,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.855,-0.0669,-0.3218,-0.0048,-0.0224,-1.175
1,paper_taxa,-0.5789,-0.4969,-1.2784,-1.0876,-0.7327,-0.7367,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.21,-0.084,-0.4452,-0.0075,-0.0227,-2.22
2,paper_taxa,0.213,0.2601,-0.4837,-0.9322,-0.7413,0.0646,0.03992,0.013972,0.001996,0.001996,0.001996,0.552894,1.23,0.0458,-0.1806,-0.0066,-0.0231,0.205
3,paper_taxa,2.1454,2.2288,1.0549,-0.8297,-1.1708,1.8219,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.025,0.4115,0.3466,-0.0067,-0.0402,5.11
4,paper_taxa,0.4114,0.4043,-0.3063,-0.7851,-1.0677,0.542,0.001996,0.001996,0.00998,0.001996,0.001996,0.001996,2.07,0.0658,-0.1063,-0.0056,-0.0399,1.615
5,paper_taxa,0.7347,0.8851,-0.3689,-1.3234,-1.3691,0.2642,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,3.89,0.1422,-0.1269,-0.0095,-0.0483,0.765
6,paper_taxa,-0.4074,-0.3318,-1.1541,-1.1085,-0.9441,-0.4932,0.001996,0.003992,0.001996,0.001996,0.001996,0.001996,-2.065,-0.0514,-0.3943,-0.0077,-0.0303,-1.405
7,paper_taxa,-0.1467,-0.2406,-0.6336,-0.7192,-0.2571,-0.165,0.153693,0.011976,0.001996,0.001996,0.00998,0.103792,-0.745,-0.0374,-0.2172,-0.0052,-0.0084,-0.495
8,paper_taxa,-0.7848,-0.7041,-1.0656,-0.5874,-0.938,0.2706,0.001996,0.001996,0.001996,0.001996,0.001996,0.007984,-4.195,-0.1149,-0.3746,-0.0043,-0.0307,0.735
9,paper_taxa,0.5994,0.6605,-0.3799,-1.1983,-1.2778,0.0034,0.001996,0.001996,0.001996,0.001996,0.001996,0.982036,3.26,0.1084,-0.1319,-0.0084,-0.0408,0.01
10,paper_taxa,-0.3807,-0.2425,-1.1681,-1.1795,-1.1774,-0.3592,0.001996,0.011976,0.001996,0.001996,0.001996,0.001996,-2.135,-0.0415,-0.4104,-0.0083,-0.0399,-1.115
11,paper_taxa,1.0087,1.1734,0.1885,-0.8859,-0.9994,0.7373,0.001996,0.001996,0.047904,0.001996,0.001996,0.001996,5.34,0.2037,0.0613,-0.0059,-0.0305,2.12
12,paper_taxa,0.8426,0.9779,0.4214,-0.2965,-0.6477,0.5256,0.001996,0.001996,0.001996,0.003992,0.001996,0.001996,4.345,0.1538,0.1395,-0.0021,-0.0227,1.515
13,paper_taxa,0.1802,0.244,-0.0698,-0.2588,-0.1901,0.1356,0.081836,0.021956,0.48503,0.017964,0.043912,0.151697,0.95,0.0379,-0.0258,-0.0019,-0.0061,0.41
14,paper_taxa,-0.3872,-0.3716,-1.1648,-1.1758,-0.7875,-0.5106,0.001996,0.003992,0.001996,0.001996,0.001996,0.001996,-2.03,-0.0587,-0.4231,-0.0085,-0.0259,-1.575
15,paper_taxa,0.9797,1.0355,0.3639,-0.5325,-0.5426,0.8309,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,5.025,0.1703,0.1212,-0.0038,-0.018,2.405
16,paper_taxa,0.7732,0.8581,0.1952,-0.6117,-0.978,1.2524,0.001996,0.001996,0.057884,0.001996,0.001996,0.001996,4.225,0.1517,0.0656,-0.0041,-0.0333,3.605
17,paper_taxa,-1.5285,-1.3728,-1.9143,-1.0984,-0.9539,-0.9555,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.135,-0.216,-0.6619,-0.0073,-0.0317,-2.845
18,paper_taxa,-0.3105,-0.2056,-0.6164,-0.5721,-0.3131,-0.4239,0.005988,0.02994,0.001996,0.001996,0.007984,0.001996,-1.71,-0.0344,-0.2233,-0.0039,-0.0104,-1.38
