seed,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
42,-0.128,-0.1295,-0.0097,0.1008,-0.2172,-0.0763,0.215569,0.243513,0.926148,0.313373,0.041916,0.47505,-0.585,-0.02,-0.0029,0.0007,-0.0067,-0.185
43,-0.1672,-0.1981,-0.1289,-0.0067,-0.2616,-0.0921,0.08982,0.053892,0.155689,0.954092,0.013972,0.341317,-0.75,-0.0299,-0.0373,-0.0,-0.008,-0.235
44,-0.2338,-0.259,-0.1937,-0.0186,-0.0975,-0.3769,0.035928,0.011976,0.053892,0.854291,0.345309,0.001996,-1.01,-0.0394,-0.06,-0.0001,-0.0031,-0.97
45,-0.2384,-0.3254,-0.3401,-0.2127,-0.2436,-0.2563,0.005988,0.003992,0.001996,0.033932,0.00998,0.00998,-1.005,-0.0474,-0.0981,-0.0016,-0.0081,-0.665
46,-0.0069,-0.0405,0.0563,0.0726,-0.1094,-0.0748,0.93014,0.716567,0.572854,0.522954,0.251497,0.489022,-0.03,-0.0061,0.0156,0.0005,-0.0034,-0.185
47,0.0068,-0.0511,0.0269,0.033,0.0179,-0.221,0.96008,0.640719,0.796407,0.728543,0.866267,0.02994,0.03,-0.008,0.0081,0.0002,0.0005,-0.575
48,-0.0631,-0.2401,-0.0985,-0.0618,0.0374,-0.2259,0.48503,0.013972,0.333333,0.491018,0.664671,0.025948,-0.28,-0.0373,-0.0293,-0.0004,0.0012,-0.565
49,-0.1314,-0.2126,-0.2479,-0.1979,-0.15,-0.3077,0.167665,0.027944,0.01996,0.03992,0.149701,0.003992,-0.575,-0.0325,-0.0745,-0.0015,-0.0049,-0.785
50,-0.3556,-0.4151,-0.3438,-0.1089,-0.1419,-0.5249,0.003992,0.001996,0.001996,0.279441,0.163673,0.001996,-1.515,-0.063,-0.1023,-0.0007,-0.0044,-1.295
51,-0.3449,-0.3522,-0.244,0.026,-0.0348,-0.3541,0.003992,0.001996,0.017964,0.806387,0.732535,0.001996,-1.52,-0.0542,-0.0692,0.0002,-0.0011,-0.88
