seed,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
100,-2.6637,-2.8964,-2.3688,-0.3324,1.26,0.3561,0.001996,0.001996,0.001996,0.003992,0.001996,0.001996,-11.445,-0.3423,-0.7679,-0.0019,0.0288,0.91
101,-1.1975,-1.3462,-0.2549,0.9137,0.3365,-1.544,0.001996,0.001996,0.015968,0.001996,0.001996,0.001996,-5.51,-0.1548,-0.0865,0.0049,0.0082,-3.925
102,-0.4535,0.0758,-0.6474,-0.3379,-0.7101,-0.2907,0.001996,0.431138,0.001996,0.003992,0.001996,0.011976,-2.085,0.0095,-0.2113,-0.0019,-0.0186,-0.755
103,-1.4822,-0.9836,-0.5198,0.7833,-0.2413,0.0753,0.001996,0.001996,0.001996,0.001996,0.025948,0.481038,-6.42,-0.1184,-0.1738,0.0042,-0.006,0.19
104,-2.1053,-1.2813,-0.6085,1.1609,-0.6547,-0.5616,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.415,-0.1355,-0.1993,0.006,-0.0164,-1.425
105,-2.3528,-2.1426,-0.9633,0.9332,0.4109,0.5901,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-10.2,-0.2479,-0.3317,0.0051,0.0114,1.575
106,-0.711,-1.3903,-0.0194,0.6135,0.4913,-1.2633,0.001996,0.001996,0.826347,0.001996,0.001996,0.001996,-2.53,-0.1389,-0.0059,0.0033,0.0139,-2.85
107,-1.394,-1.7317,-1.2026,-0.1684,0.4305,0.457,0.001996,0.001996,0.001996,0.11976,0.001996,0.001996,-5.21,-0.174,-0.3572,-0.001,0.0095,1.08
108,-0.0644,0.4034,0.1837,0.3943,-3.7446,0.3133,0.522954,0.001996,0.075848,0.001996,0.001996,0.003992,-0.31,0.0485,0.0618,0.0019,-0.0892,0.85
109,0.5048,0.1852,0.2926,-0.1745,0.8656,0.2962,0.001996,0.087824,0.011976,0.081836,0.001996,0.005988,2.365,0.0229,0.0989,-0.0009,0.0214,0.715
